k,inertia,silhouette,calinski_harabasz,davies_bouldin,bic,n_clusters
2,1.0693584582158524,0.6418673532030698,16.534641976805126,0.32364066396060315,-12.292356524589039,2
3,0.24061441008479745,0.6551493118655808,65.80704993555374,0.36896046867666493,-48.122339386079005,3
4,0.12293499426295926,0.581377260245107,86.5212060324483,0.46170650360289206,-34.50464602675062,4
5,0.0780418754635617,0.5317642088359199,98.50709967358152,0.57694307295282,-39.975799693507554,5
6,0.059197959197231316,0.5404220681332376,98.35289816583796,0.4825139655846276,-32.21424743039998,6
7,0.04331181176543457,0.5564126772609379,105.41041651499783,0.45887250059022183,-42.61504362122959,7
8,0.030431526880101242,0.4847998977041036,120.19438519758327,0.5612718183713659,-51.31424270696891,8
